Estacao;Data;Hora;TempBulboSeco;UmidadeRelativa;PressaoAtmEstacao;VelocidadeVento;Nebulosidade;
83781;06/04/2019;1800;24.2;50;926.6;1.54332;6.25;
83781;07/04/2019;0000;23;95;925;1.54332;10;
83781;07/04/2019;1200;22.2;88;927.3;1.54332;10;
83781;07/04/2019;1800;25.4;77;925.2;2.05776;10;
83781;08/04/2019;0000;24;84;925.3;0;7.5;
83781;08/04/2019;1200;21.4;;925.4;1.54332;10;
83781;08/04/2019;1800;20.2;96;924.5;2.5722;10;
83781;09/04/2019;0000;20.4;93;925.5;2.5722;10;
83781;09/04/2019;1200;20.8;88;926.6;2.05776;10;
83781;09/04/2019;1800;21;88;925.8;3.08664;10;
83781;10/04/2019;0000;19.1;92;927;4.11552;10;
83781;10/04/2019;1200;19.2;89;928.2;1.54332;10;
83781;10/04/2019;1800;21.7;75;926.5;2.5722;10;
83781;11/04/2019;0000;18.2;93;926.9;3.08664;10;
83781;11/04/2019;1200;20.1;83;927.4;2.05776;10;
83781;11/04/2019;1800;27.3;57;924.5;0.51444;7.5;
83781;12/04/2019;0000;20.5;88;926.7;3.08664;10;
83781;12/04/2019;1200;21.5;79;926.8;2.05776;7.5;
83781;12/04/2019;1800;28.5;42;923.8;3.08664;7.5;
83781;13/04/2019;0000;21.2;87;926.6;1.54332;7.5;
83781;13/04/2019;1200;23;77;927.4;2.05776;7.5;
83781;13/04/2019;1800;28.7;53;924.1;1.54332;7.5;
83781;14/04/2019;0000;22;81;927.1;2.05776;10;
83781;14/04/2019;1200;18.9;92;928.9;1.54332;10;
83781;14/04/2019;1800;21;87;925.8;3.08664;10;
83781;15/04/2019;0000;19.5;88;926.9;2.5722;5;
83781;15/04/2019;1200;21.7;83;927.8;2.5722;10;
83781;15/04/2019;1800;27.9;64;926.3;0;7.5;
83781;16/04/2019;0000;21.4;85;927.5;1.54332;10;
83781;16/04/2019;1200;23.6;77;926.7;2.05776;5;
83781;16/04/2019;1800;28.1;52;922.3;1.54332;10;
83781;17/04/2019;0000;20.9;87;923.4;2.05776;7.5;
83781;17/04/2019;1200;22.2;87;924.3;1.02888;6.25;
83781;17/04/2019;1800;26.7;47;922.3;2.5722;6.25;
83781;18/04/2019;0000;21.6;82;923.4;2.5722;10;
83781;18/04/2019;1200;20.3;75;924.7;1.02888;2.5;
83781;18/04/2019;1800;26.4;44;923.4;1.54332;2.5;
83781;19/04/2019;0000;19.6;84;925.4;1.54332;6.25;
83781;19/04/2019;1200;20.3;71;926.7;1.02888;1.25;
83781;19/04/2019;1800;27.4;36;923.9;2.05776;2.5;
83781;20/04/2019;0000;22;69;925.4;1.02888;0;
83781;20/04/2019;1200;21.2;68;926.1;1.02888;1.25;
83781;20/04/2019;1800;27.1;44;923.7;2.05776;7.5;
83781;21/04/2019;0000;23.4;61;925;1.54332;7.5;
83781;21/04/2019;1200;23.8;60;925;1.54332;3.75;
83781;21/04/2019;1800;28.8;47;922.8;2.5722;7.5;
83781;22/04/2019;0000;23.8;82;924.5;1.02888;10;
83781;22/04/2019;1200;22.8;55;925.3;1.54332;10;
83781;22/04/2019;1800;27;70;925;2.5722;10;
83781;23/04/2019;0000;23;81;925.3;2.5722;10;
83781;23/04/2019;1200;22.3;84;928.3;1.54332;10;
