Estacao;Data;Hora;TempBulboSeco;UmidadeRelativa;PressaoAtmEstacao;VelocidadeVento;Nebulosidade;
83781;18/03/1980;1800;26.9;64;925.3;2.5;10;
83781;19/03/1980;0000;22.4;86;927.4;3.3;10;
83781;19/03/1980;1200;21.2;88;928.5;1.6;10;
83781;19/03/1980;1800;26.6;65;926.1;2.3;10;
83781;20/03/1980;0000;21.9;85;927.6;4.6;10;
83781;20/03/1980;1200;22;79;927.7;2.8;0;
83781;20/03/1980;1800;27.1;57;925.4;0;10;
83781;21/03/1980;0000;22;85;926.5;1.8;5;
83781;21/03/1980;1200;21.5;86;926.3;1.6;0;
83781;21/03/1980;1800;28.6;46;924.7;4;10;
83781;22/03/1980;0000;29;51;926;1.5;10;
83781;22/03/1980;1200;21.2;90;926.1;1.1;0;
83781;22/03/1980;1800;30;39;924.4;3.3;7;
83781;23/03/1980;0000;25.4;78;926.3;1.5;2;
83781;23/03/1980;1200;23.6;72;927.7;1.3;0;
83781;23/03/1980;1800;30.8;37;925.2;2.3;7;
83781;24/03/1980;0000;25.3;75;926.4;3;2;
83781;24/03/1980;1200;25.1;62;927.1;1.8;0;
83781;24/03/1980;1800;31.1;37;925;2.5;7;
83781;25/03/1980;0000;25.6;65;926.1;1.3;10;
83781;25/03/1980;1200;24.2;73;926;0;0;
83781;25/03/1980;1800;30.2;43;923.7;4.6;7;
83781;26/03/1980;0000;25;85;925.4;1.6;0;
83781;26/03/1980;1200;24.5;73;925.9;0.8;0;
83781;26/03/1980;1800;29.4;42;924.2;4.8;4;
83781;27/03/1980;0000;25.5;55;925.5;2.5;0;
83781;27/03/1980;1200;25.6;58;926.1;1.3;6;
83781;27/03/1980;1800;30.8;38;923.8;2;10;
83781;28/03/1980;0000;25.9;58;925.3;1.5;3;
83781;28/03/1980;1200;23.7;76;924.9;0;10;
83781;28/03/1980;1800;30.3;42;922.5;4.3;10;
83781;29/03/1980;0000;25.6;64;923.7;1.5;10;
83781;29/03/1980;1200;25.7;62;924.9;1.1;7;
83781;29/03/1980;1800;29;48;922.1;4.5;10;
83781;30/03/1980;0000;24.3;59;924;4.1;10;
83781;30/03/1980;1200;21.2;84;924.2;2.6;9;
83781;30/03/1980;1800;23.6;68;922.5;5;10;
83781;31/03/1980;0000;21;83;923.9;3.5;10;
83781;31/03/1980;1200;19;91;925.6;4.6;10;
83781;31/03/1980;1800;21.2;74;924.6;3.3;10;
83781;01/04/1980;0000;18;81;925.5;4;2;
83781;01/04/1980;1200;18.7;;925;2;10;
83781;01/04/1980;1800;22.9;64;923.2;3.8;10;
83781;02/04/1980;0000;18;78;924;3.6;4;
83781;02/04/1980;1200;18.7;82;924.5;3.3;10;
83781;02/04/1980;1800;24.3;66;922.1;3.8;10;
83781;03/04/1980;0000;19.4;92;924.5;4.1;10;
83781;03/04/1980;1200;20;94;924.4;4.1;10;
83781;03/04/1980;1800;22.5;81;922.3;3.1;10;
83781;04/04/1980;0000;20;94;923.5;1.5;10;
83781;04/04/1980;1200;21.3;86;922.4;5;10;
83781;04/04/1980;1800;20.7;92;920.1;1.5;10;
83781;05/04/1980;0000;20.2;96;921.1;0;10;
83781;05/04/1980;1200;20.1;95;923;1.5;10;
83781;05/04/1980;1800;20.6;91;920.3;1.1;10;
83781;06/04/1980;0000;18.8;87;921.8;3.6;4;
83781;06/04/1980;1200;18.5;87;923;2;10;
83781;06/04/1980;1800;22;67;921.9;3.6;10;
83781;07/04/1980;0000;18.2;83;923.6;3.1;10;
83781;07/04/1980;1200;18.1;87;924;4.1;10;
83781;07/04/1980;1800;22;71;921;3.1;10;
83781;08/04/1980;0000;18.8;89;923.1;3.5;10;
83781;08/04/1980;1200;20;86;922.6;3.3;10;
83781;08/04/1980;1800;27.6;62;919.6;0;10;
83781;09/04/1980;0000;20.9;80;921.6;1.1;10;
83781;09/04/1980;1200;21.5;88;922;1.6;8;
83781;09/04/1980;1800;27;61;919.1;3.5;10;
83781;10/04/1980;0000;21.1;90;921;0.7;10;
83781;10/04/1980;1200;22.1;89;921.9;1.6;7;
83781;10/04/1980;1800;28;57;919.4;3.1;10;
83781;11/04/1980;0000;23.4;82;922.3;2.3;4;
83781;11/04/1980;1200;23.1;73;923.5;5;7;
83781;11/04/1980;1800;28.2;56;920.6;4.5;8;
83781;12/04/1980;0000;23;85;923.1;0;4;
83781;12/04/1980;1200;22.8;78;922.9;6.6;7;
83781;12/04/1980;1800;27;63;919.5;4.6;8;
83781;13/04/1980;0000;23.7;76;920.5;4;10;
83781;13/04/1980;1200;19.1;91;922;2.5;10;
83781;13/04/1980;1800;24.3;73;920.5;4;10;
83781;14/04/1980;0000;22;88;922.5;1.5;10;
83781;14/04/1980;1200;22.5;83;923.3;3.3;8;
83781;14/04/1980;1800;25.4;64;921.2;4.5;10;
83781;15/04/1980;0000;18.8;90;923.8;3;10;
83781;15/04/1980;1200;17.4;90;927.5;4.1;10;
83781;15/04/1980;1800;19;84;926;3.8;10;
83781;16/04/1980;0000;17;92;928.3;3.3;10;
83781;16/04/1980;1200;16.8;93;930.6;2.6;10;
83781;16/04/1980;1800;18.3;84;928.2;3.8;10;
83781;17/04/1980;0000;17.4;91;930.7;4.3;10;
83781;17/04/1980;1200;18.5;87;930.5;5.3;10;
83781;17/04/1980;1800;24.6;63;928.6;4.6;4;
83781;18/04/1980;0000;20.4;91;930.6;2;4;
83781;18/04/1980;1200;19.6;87;931.9;3.3;10;
83781;18/04/1980;1800;27.6;53;929.3;0.5;4;
83781;19/04/1980;0000;20.3;90;931;3;3;
83781;19/04/1980;1200;18.3;93;930.8;4.1;10;
83781;19/04/1980;1800;26.5;53;928.4;4.3;4;
83781;20/04/1980;0000;20.3;86;929.8;3;2;
83781;20/04/1980;1200;16.8;93;930.3;3.3;10;
83781;20/04/1980;1800;24.8;55;927.2;3.5;3;
83781;21/04/1980;0000;18.8;90;928.3;2.6;4;
83781;21/04/1980;1200;18.1;87;929.5;3.3;10;
83781;21/04/1980;1800;25;50;927.2;3.8;0;
83781;22/04/1980;0000;19.6;87;929.4;3.6;8;
83781;22/04/1980;1200;18.8;86;929.9;3;9;
83781;22/04/1980;1800;25;51;928.1;4;0;
83781;23/04/1980;0000;20.1;86;929.4;3.3;10;
83781;23/04/1980;1200;20;83;929.8;5.3;9;
83781;23/04/1980;1800;26.7;38;932.2;1.3;0;
83781;24/04/1980;0000;19.6;88;928.5;3.5;0;
83781;24/04/1980;1200;17.4;88;929.4;3.5;10;
83781;24/04/1980;1800;23.7;60;926.9;3.6;10;
83781;25/04/1980;0000;18.5;89;927.4;1.6;0;
83781;25/04/1980;1200;17.3;85;928.4;3.3;9;
83781;25/04/1980;1800;22;59;926.6;4;10;
83781;26/04/1980;0000;17.4;86;928.6;3.5;9;
83781;26/04/1980;1200;17.2;81;929.3;5;2;
83781;26/04/1980;1800;23.9;52;927.1;1.5;0;
83781;27/04/1980;1200;18.5;82;930.5;5.6;1;
83781;27/04/1980;1800;25.5;44;928.4;3.3;2;
83781;28/04/1980;0000;19;87;930.8;3;10;
83781;28/04/1980;1200;17.6;86;930.8;4.1;10;
83781;28/04/1980;1800;24.6;49;927.6;3;0;
83781;29/04/1980;0000;19.4;77;929.1;3.8;10;
83781;29/04/1980;1200;18.1;83;929.2;3;10;
83781;29/04/1980;1800;24.9;48;925.4;3.3;9;
83781;30/04/1980;0000;20.8;82;926.8;1.5;6;
83781;30/04/1980;1200;16.1;97;926.6;1.6;10;
83781;30/04/1980;1800;26.4;49;923.6;3;8;
83781;01/05/1980;0000;21.9;74;924.5;0;0;
83781;01/05/1980;1200;19.1;76;924.6;2.3;0;
83781;01/05/1980;1800;26.8;42;921.7;3.6;3;
83781;02/05/1980;0000;23.2;65;922.4;2.1;10;
83781;02/05/1980;1200;19.2;87;923.6;4.1;10;
83781;02/05/1980;1800;21.6;73;922.2;5.3;10;
83781;03/05/1980;0000;18.4;87;924.8;3.5;10;
83781;03/05/1980;1200;17;91;925.9;3.3;10;
83781;03/05/1980;1800;18.1;79;925;3.3;10;
83781;04/05/1980;0000;16.6;82;926.4;5.8;10;
